16777216	  7.2448	27394048	42729472	66846720	223346688	876609536	2701131776	3674210304	5133828096	6341787648	8019509248	9462349824	12683575296	13891534848	14025752576	15367929856	15367929856	15367929856
     128	3319.063166	493568	1368064	2605056	4292608	5668864	6979584	8159232	9371648	10682368	13172736	17694720	22151168	34865152	41156608	69730304	198180864	221249536
     256	4470.216096	350208	468992	593920	888832	1351680	2113536	3391488	5210112	7634944	10551296	16711680	25034752	52690944	65798144	102236160	115867648	145752064
     512	4828.773051	346112	448512	552960	782336	1105920	1597440	2408448	3784704	6062080	9633792	17170432	25821184	53215232	64749568	93847552	105381888	141557760
    1024	4860.6541	346112	440320	528384	733184	1011712	1433600	2113536	3260416	5275648	8978432	17170432	27656192	57409536	71827456	109576192	129499136	160432128
    2048	4771.794188	350208	448512	544768	757760	1056768	1515520	2211840	3424256	5537792	9371648	17694720	27656192	56360960	69730304	101187584	117964800	160432128
    4096	4676.238645	358400	452608	544768	757760	1056768	1531904	2244608	3489792	5603328	9502720	17956864	27918336	59506688	74973184	110624768	120061952	139460608
    8192	3314.825301	485376	1236992	2539520	4358144	5799936	7045120	8355840	9502720	10944512	13303808	17694720	22413312	35389440	42205184	59506688	64749568	74973184
   16384	3251.890595	528384	1236992	2539520	4358144	5865472	7176192	8454144	9633792	11075584	13565952	17956864	23199744	37486592	44826624	61603840	68681728	86507520
   32768	3040.403704	610304	1581056	2965504	4751360	6193152	7503872	8847360	10158080	11730944	14221312	19005440	24510464	41156608	51118080	82313216	126353408	187695104
   65536	1887.282659	602112	757760	888832	1220608	1728512	2605056	4079616	6455296	10289152	18481152	44826624	82313216	196083712	217055232	325058560	367001600	517996544
  131072	967.163584	946176	1384448	1990656	4358144	6455296	8355840	10158080	11993088	16187392	33423360	96993280	175112192	333447168	383778816	501219328	574619648	608174080
  262144	491.180281	1155072	1482752	1761280	2310144	2998272	4145152	6389760	11206656	26345472	88604672	227540992	358612992	624951296	700448768	784334848	817889280	901775360
  524288	254.716043	2146304	3555328	5275648	8978432	11206656	13434880	15532032	19005440	28704768	94896128	375390208	834666496	1501560832	1652555776	2021654528	2122317824	2164260864
 1048576	117.980864	2834432	3555328	4358144	5603328	7110656	8978432	11730944	16711680	35389440	156237824	893386752	1971322880	3774873600	4278190080	5133828096	5133828096	5133828096
 2097152	61.824905	4751360	6193152	7634944	10027008	12386304	15269888	19791872	27918336	69730304	274726912	2122317824	3607101440	5536481280	5872025600	6408896512	7147094016	7147094016
